City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,64.81,65,10,1.99,US,1684893050
1,port-aux-francais,-49.35,70.2167,45.1,97,98,21.39,TF,1684893133
2,afaahiti,-17.75,-149.2833,80.47,79,78,11.63,PF,1684893172
3,argostolion,38.1811,20.489,63.32,79,52,2.06,GR,1684893723
4,tura,25.5198,90.2201,77.95,78,57,3.96,IN,1684893207
5,puerto natales,-51.7236,-72.4875,29.79,93,72,3.98,CL,1684893136
6,mariehamn,60.0973,19.9348,47.82,100,0,1.14,AX,1684893724
7,porto novo,6.4965,2.6036,82.22,88,100,4.0,BJ,1684893301
8,sitka,57.0531,-135.33,51.69,71,0,10.36,US,1684893175
9,vanino,49.0869,140.2543,68.74,45,70,4.68,RU,1684893726
10,rio grande,-32.035,-52.0986,65.55,91,55,8.99,BR,1684893175
11,aljezur,37.3191,-8.8033,62.91,75,96,3.29,PT,1684893727
12,pangai,-19.8,-174.35,82.51,65,75,2.3,TO,1684893728
13,bredasdorp,-34.5322,20.0403,52.99,91,100,3.47,ZA,1684893137
14,grytviken,-54.2811,-36.5092,35.02,89,20,12.95,GS,1684893728
15,whitehorse,60.7161,-135.0538,65.17,25,75,8.05,CA,1684893050
16,port mathurin,-19.6833,63.4167,76.96,60,1,12.19,MU,1684893234
17,uturoa,-16.7333,-151.4333,80.28,78,77,12.28,PF,1684893209
18,serdar,38.9764,56.2757,83.75,27,0,5.12,TM,1684893731
19,bamboo flat,11.7,92.7167,82.49,89,20,3.44,IN,1684893158
20,margaret river,-33.95,115.0667,58.73,60,99,15.23,AU,1684893138
21,banff,51.1762,-115.5698,60.03,54,71,5.75,CA,1684893732
22,iqaluit,63.7506,-68.5145,19.13,73,75,13.8,CA,1684893157
23,stanley,54.868,-1.6985,48.9,83,0,10.36,GB,1684893138
24,smithers,54.7804,-127.1743,73.72,33,20,5.75,CA,1684893245
25,crane,31.3974,-102.3501,74.34,44,27,17.09,US,1684893247
26,chengde,40.9725,117.9361,77.52,23,99,11.7,CN,1684893737
27,tamanrasset,22.785,5.5228,71.51,23,0,4.61,DZ,1684893737
28,uliastay,47.7417,96.8444,47.89,45,21,8.12,MN,1684893738
29,fortuna,40.5982,-124.1573,55.92,84,75,12.66,US,1684893738
30,dakhla,23.6848,-15.958,65.07,83,100,16.78,EH,1684893739
31,waitangi,-43.9535,-176.5597,56.82,86,71,5.99,NZ,1684893739
32,vadso,70.0744,29.7487,45.48,87,100,10.36,NO,1684893244
33,mount isa,-20.7333,139.5,76.77,31,0,13.8,AU,1684893695
34,nevel'sk,46.6733,141.8633,51.62,63,2,13.04,RU,1684893741
35,tazacorte,28.629,-17.9293,63.57,72,40,5.75,ES,1684893203
36,alice springs,-23.7,133.8833,65.75,32,3,6.91,AU,1684893210
37,remire-montjoly,4.9167,-52.2667,75.24,100,40,0.0,GF,1684893285
38,taoudenni,22.6783,-3.9836,82.38,16,86,9.69,ML,1684893264
39,adamstown,-25.066,-130.1015,76.77,87,83,28.81,PN,1684893159
40,chui,-33.6971,-53.4616,65.07,85,86,7.63,UY,1684893246
41,saipan,15.1355,145.701,83.1,100,75,28.77,MP,1684893235
42,praia da vitoria,38.7333,-27.0667,62.85,77,40,7.74,PT,1684893160
43,dalnerechensk,45.9339,133.7225,70.09,53,9,13.78,RU,1684893744
44,arica,-18.475,-70.3042,64.63,77,0,3.44,CL,1684893647
45,bethel,41.3712,-73.414,55.56,76,12,3.31,US,1684893745
46,bakanas,44.8081,76.2772,67.19,30,10,8.21,KZ,1684893745
47,belyy yar,53.6039,91.3903,60.69,36,0,15.66,RU,1684893266
48,nikolayevsk-on-amure,53.1406,140.73,55.9,60,99,4.27,RU,1684893746
49,ca mau,9.1769,105.15,89.85,56,50,8.57,VN,1684893746
50,kingston,17.997,-76.7936,81.55,84,40,3.44,JM,1684893012
51,camara de lobos,32.6333,-16.9667,66.83,85,40,6.91,PT,1684893747
52,dwarka,22.2394,68.9678,83.3,81,0,18.32,IN,1684893747
53,kodiak,57.79,-152.4072,42.46,98,100,10.2,US,1684893748
54,tazovsky,67.4667,78.7,35.17,78,100,5.97,RU,1684893178
55,huarmey,-10.0681,-78.1522,71.65,84,56,8.7,PE,1684893748
56,pechora,65.1472,57.2244,54.37,75,16,3.13,RU,1684893749
57,nova sintra,14.8667,-24.7167,68.65,81,78,11.45,CV,1684893176
58,vinga,46.0167,21.2,61.92,82,0,9.22,RO,1684893750
59,edinburgh of the seven seas,-37.0676,-12.3116,56.01,62,95,24.79,SH,1684893751
60,badger,64.8,-147.5333,69.39,29,0,3.44,US,1684893177
61,taulaga,-11.0553,-171.0883,82.13,68,83,6.49,AS,1684893753
62,keflavik,64.0049,-22.5624,42.71,65,75,40.29,IS,1684893282
63,tiksi,71.6872,128.8694,25.92,81,16,3.91,RU,1684893204
64,ukiah,39.1502,-123.2078,78.69,39,0,3.0,US,1684893601
65,hadibu,12.65,54.0333,84.13,72,57,4.34,YE,1684893176
66,jamestown,42.097,-79.2353,62.24,77,0,1.01,US,1684893726
67,broome,42.2506,-75.833,63.37,80,2,4.25,US,1684893755
68,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,43,75,6.71,RU,1684893755
69,kyakhta,50.3508,106.4494,58.96,34,5,7.7,RU,1684893756
70,ushuaia,-54.8,-68.3,38.86,93,100,21.85,AR,1684893756
71,hawaiian paradise park,19.5933,-154.9731,80.73,77,26,1.01,US,1684893757
72,santa vitoria,-18.8386,-50.1214,64.58,61,0,5.97,BR,1684893757
73,nar'yan-mar,67.6713,53.087,59.31,61,14,7.92,RU,1684893174
74,el calafate,-50.3408,-72.2768,31.66,80,99,5.39,AR,1684893256
75,tenno,39.9,139.9667,61.81,65,32,17.49,JP,1684893758
76,blackmans bay,-43.0167,147.3167,64.72,58,100,8.19,AU,1684893759
77,lebu,-37.6167,-73.65,54.81,75,68,22.95,CL,1684893759
78,ponta delgada,37.7333,-25.6667,61.52,77,20,8.05,PT,1684893614
79,sulak,43.2734,47.5146,62.4,85,10,8.68,RU,1684893760
80,tayoltita,24.0833,-105.9333,72.39,43,92,3.62,MX,1684893760
81,utrik,11.2278,169.8474,82.54,77,100,17.0,MH,1684893760
82,vanimo,-2.6741,141.3028,85.55,67,100,3.58,PG,1684893760
83,yeniseysk,58.4497,92.1703,42.06,54,94,13.02,RU,1684893761
84,la mira,18.035,-102.3266,81.3,76,4,5.82,MX,1684893761
85,vernon,50.2581,-119.2691,61.61,66,100,3.0,CA,1684893642
86,quesnel,52.9999,-122.5029,50.5,93,100,6.91,CA,1684893630
87,ulanhot,46.0833,122.0833,84.15,12,74,15.26,CN,1684893762
88,newman,37.3138,-121.0208,78.78,39,0,13.0,US,1684893200
89,avarua,-21.2078,-159.775,77.05,65,40,4.61,CK,1684893762
90,bilibino,68.0546,166.4372,51.3,42,94,4.43,RU,1684893762
91,san luis de la loma,17.2706,-100.8939,82.71,71,51,5.84,MX,1684893763
92,yaren,-0.5472,166.916,78.17,82,100,4.36,NR,1684893763
93,east london,-33.0153,27.9116,60.04,49,3,5.35,ZA,1684893228
94,sihanoukville,10.6093,103.5296,87.75,79,40,4.61,KH,1684893763
95,nuuk,64.1835,-51.7216,30.81,74,100,24.16,GL,1684893203
96,america dourada,-11.4553,-41.4361,69.91,78,98,10.29,BR,1684893703
97,karachi,24.9056,67.0822,84.02,84,40,13.8,PK,1684893496
98,port lincoln,-34.7333,135.8667,63.72,49,100,20.27,AU,1684893245
99,puerto ayora,-0.7393,-90.3518,78.55,92,100,1.99,EC,1684893157
100,atafu village,-8.5421,-172.5159,82.85,73,89,6.67,TK,1684893764
101,hamilton,39.1834,-84.5333,73.4,65,40,0.0,US,1684893001
102,chonchi,-42.6128,-73.8092,47.41,97,100,8.61,CL,1684893202
103,longyearbyen,78.2186,15.6401,35.44,75,75,1.14,SJ,1684893680
104,anadyr,64.75,177.4833,43.3,65,40,6.71,RU,1684893173
105,geraldton,-28.7667,114.6,66.61,82,100,8.05,AU,1684893240
106,boende,-0.2167,20.8667,70.93,98,76,0.81,CD,1684893764
107,nemuro,43.3236,145.575,40.84,83,100,16.73,JP,1684893180
108,barra dos coqueiros,-10.9089,-37.0386,80.62,78,20,9.22,BR,1684893765
109,san patricio,28.017,-97.5169,82.35,73,22,9.93,US,1684893232
110,qaqortoq,60.7167,-46.0333,31.26,78,100,1.63,GL,1684893765
111,oytal,42.9057,73.2697,57.99,71,100,6.64,KZ,1684893765
112,yellowknife,62.456,-114.3525,63.12,27,75,13.8,CA,1684893172
113,papatowai,-46.5619,169.4708,52.32,57,40,9.19,NZ,1684893765
114,talnakh,69.4865,88.3972,33.21,90,55,10.87,RU,1684893765
115,heroica ciudad de tlaxiaco,17.2667,-97.6833,64.13,83,85,2.77,MX,1684893766
116,kendari,-3.945,122.4989,85.77,65,66,0.78,ID,1684893766
117,malabar,-33.9667,151.25,66.63,49,0,8.05,AU,1684893766
118,olonkinbyen,70.9221,-8.7187,33.12,94,100,29.86,SJ,1684893179
119,harper,4.375,-7.7169,80.46,84,44,5.3,LR,1684893288
120,novomykolayivka,47.9781,35.9102,56.77,92,10,4.14,UA,1684893767
121,punta arenas,-53.15,-70.9167,32.11,93,0,11.5,CL,1684893267
122,st. john's,47.5649,-52.7093,35.78,95,75,15.01,CA,1684893122
123,mana,5.6592,-53.7767,78.21,92,100,6.49,GF,1684893767
124,moranbah,-22.0016,148.0466,74.71,44,0,17.78,AU,1684893767
125,urangan,-25.3,152.9,73.2,66,0,11.05,AU,1684893767
126,krasnoarmeysk,51.0239,45.6969,58.3,94,86,4.63,RU,1684893767
127,kununurra,-15.7667,128.7333,78.78,29,4,9.22,AU,1684893243
128,margate,51.3813,1.3862,49.69,82,100,1.03,GB,1684893767
129,maputo,-25.9653,32.5892,63.23,84,86,8.61,MZ,1684893767
130,coquimbo,-29.9533,-71.3436,56.93,100,75,2.3,CL,1684893234
131,fale old settlement,-9.3852,-171.2468,82.85,72,85,6.4,TK,1684893181
132,labrador city,52.9463,-66.9114,46.31,81,100,17.27,CA,1684893768
133,parfino,57.9731,31.6481,52.2,82,100,1.25,RU,1684893768
134,leava,-14.3,-178.1667,81.43,80,100,14.12,WF,1684893768
135,kinkala,-4.3614,14.7644,71.37,96,74,1.86,CG,1684893768
136,zaragoza,41.6561,-0.8773,61.02,84,40,2.3,ES,1684893493
137,la passe,45.5549,-0.8967,59.23,80,1,16.11,FR,1684893769
138,xingcheng,40.6167,120.7167,71.94,44,100,13.53,CN,1684893769
139,vorgashor,67.5833,63.95,48.4,61,17,7.11,RU,1684893173
140,ilha de mocambique,-15.0342,40.7358,77.29,75,55,13.78,MZ,1684893769
